rank,book_name,author,rating_value,rating_count,meta_score_num,number_of_voted_num,book_url,page,Cluster
103.0,"The Thief (The Queen's Thief, #1)",Megan Whalen Turner,3.85,95760,6182,64,https://www.goodreads.com/book/show/448873.The_Thief,2,2
104.0,Fruit Loop Killer: A Mark Jeremy Novel,Terry Cavanaugh,4.58,45,6067,61,https://www.goodreads.com/book/show/239271139-fruit-loop-killer,2,1
105.0,"The Talented Mr. Ripley (Ripley, #1)",Patricia Highsmith,3.96,127837,6058,66,https://www.goodreads.com/book/show/2247142.The_Talented_Mr_Ripley,2,2
106.0,"The End (A Series of Unfortunate Events, #13)",Lemony Snicket,4.04,119353,6048,64,https://www.goodreads.com/book/show/65112.The_End,2,2
107.0,Factotum,Charles Bukowski,3.92,77894,5999,69,https://www.goodreads.com/book/show/497199.Factotum,2,2
108.0,"The Silence of the Lambs (Hannibal Lecter, #2)",Thomas Harris,4.26,601036,5991,65,https://www.goodreads.com/book/show/23807.The_Silence_of_the_Lambs,2,2
109.0,"The Spy Who Came In from the Cold (George Smiley, #3)",John le Carré,4.09,133995,5906,65,https://www.goodreads.com/book/show/19494.The_Spy_Who_Came_In_from_the_Cold,2,2
110.0,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,3224247,5895,67,https://www.goodreads.com/book/show/100915.The_Lion_the_Witch_and_the_Wardrobe,2,2
111.0,Plain Truth,Jodi Picoult,4.01,202621,5892,62,https://www.goodreads.com/book/show/14864.Plain_Truth,2,2
112.0,The Forgotten Garden,Kate Morton,4.16,244439,5875,63,https://www.goodreads.com/book/show/3407877-the-forgotten-garden,2,2
113.0,Defending Jacob,William Landay,4.0,315896,5663,60,https://www.goodreads.com/book/show/11367726-defending-jacob,2,2
114.0,"Deeper Than the Dead (Vera Boyett, #1)",Debra Webb,4.04,24682,5583,59,https://www.goodreads.com/book/show/198190467-deeper-than-the-dead,2,2
115.0,"American Gods (American Gods, #1)",Neil Gaiman,4.1,1004095,5550,61,https://www.goodreads.com/book/show/30165203-american-gods,2,2
116.0,Listen for the Lie,Amy Tintera,4.06,632972,5503,58,https://www.goodreads.com/book/show/127279000-listen-for-the-lie,2,2
117.0,Lunar Park,Bret Easton Ellis,3.65,31479,5497,63,https://www.goodreads.com/book/show/4031.Lunar_Park,2,2
118.0,The Bridge to Rembrandt,Nelson K. Foley,4.25,6052,5432,58,https://www.goodreads.com/book/show/58549182-the-bridge-to-rembrandt,2,2
119.0,"Skagboys (Mark Renton, #1)",Irvine Welsh,4.07,18430,5316,60,https://www.goodreads.com/book/show/12926063-skagboys,2,2
120.0,I Am the Messenger,Markus Zusak,4.02,172491,5168,56,https://www.goodreads.com/book/show/19057.I_Am_the_Messenger,2,2
121.0,The Help,Kathryn Stockett,4.47,3093542,5003,56,https://www.goodreads.com/book/show/4667024-the-help,2,2
122.0,"On Her Watch (Bree Taggert, #8)",Melinda Leigh,4.49,22147,4985,53,https://www.goodreads.com/book/show/61138863-on-her-watch,2,2
123.0,"Oedipus Rex (The Theban Plays, #1)",Sophocles,3.73,243476,4942,52,https://www.goodreads.com/book/show/1554.Oedipus_Rex,2,2
124.0,"Echo Road (Mercy Kilpatrick, #9; Bree Taggert, #8.5)",Kendra Elliot,4.53,21560,4857,52,https://www.goodreads.com/book/show/201788158-echo-road,2,2
125.0,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.04,1645366,4854,54,https://www.goodreads.com/book/show/119322.The_Golden_Compass,2,2
126.0,"Death at La Fenice (Commissario Brunetti, #1)",Donna Leon,3.89,44610,4824,52,https://www.goodreads.com/book/show/68099.Death_at_La_Fenice,2,2
127.0,The Moonstone,Wilkie Collins,3.91,101169,4809,52,https://www.goodreads.com/book/show/6138.The_Moonstone,2,2
128.0,Sharp Objects,Gillian Flynn,4.0,1278582,4741,54,https://www.goodreads.com/book/show/18045891-sharp-objects,2,2
129.0,"The Fourth Monkey (4MK Thriller, #1)",J.D. Barker,4.25,101033,4725,50,https://www.goodreads.com/book/show/31125554-the-fourth-monkey,2,2
130.0,"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,3.82,182261,4699,51,https://www.goodreads.com/book/show/40605285-the-sweetness-at-the-bottom-of-the-pie,2,2
131.0,The Doomsday Butcher (Cole Chambers FBI Profiler Thrillers #1),S.E. Stitcher,4.32,4666,4610,48,https://www.goodreads.com/book/show/225578897-the-doomsday-butcher,2,2
132.0,"Passions in Death (In Death, #59)",J.D. Robb,4.27,23419,4608,49,https://www.goodreads.com/book/show/203578776-passions-in-death,2,2
133.0,"Dangerous Play (Kate Green, #2)",Elise Hart Kipness,4.26,3350,4512,48,https://www.goodreads.com/book/show/198327636-dangerous-play,2,2
134.0,The House at Riverton,Kate Morton,3.96,127837,4452,48,https://www.goodreads.com/book/show/1278752.The_House_at_Riverton,2,2
135.0,"And Only to Deceive (Lady Emily, #1)",Tasha Alexander,3.77,22483,4439,48,https://www.goodreads.com/book/show/288159.And_Only_to_Deceive,2,2
136.0,Journey's Paradox (Journey Russo FBI Mystery #6),Mary Stone,4.58,2548,4411,47,https://www.goodreads.com/book/show/217907238-journey-s-paradox,2,1
137.0,"A Curious Beginning (Veronica Speedwell, #1)",Deanna Raybourn,3.96,62774,4388,47,https://www.goodreads.com/book/show/28186322-a-curious-beginning,2,2
138.0,"Still Life (Chief Inspector Armand Gamache, #1)",Louise Penny,3.89,296117,4365,48,https://www.goodreads.com/book/show/338691.Still_Life,2,2
139.0,The Pact,Jodi Picoult,4.03,332252,4304,47,https://www.goodreads.com/book/show/10916.The_Pact,2,2
140.0,"The Reaping (Steinbeck and Reed, #2)",Jess Lourey,4.06,15878,4265,45,https://www.goodreads.com/book/show/198712881-the-reaping,2,2
141.0,The Swimmer,Loreth Anne White,4.11,29455,4181,44,https://www.goodreads.com/book/show/206766189-the-swimmer,2,2
142.0,"Death on the Nile (Hercule Poirot, #18)",Agatha Christie,4.12,322748,4150,46,https://www.goodreads.com/book/show/131359.Death_on_the_Nile,2,2
143.0,"Stripped Bare (Kate Fox, #1)",Shannon Baker,4.03,8583,4130,44,https://www.goodreads.com/book/show/56198498-stripped-bare,2,2
144.0,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1631962,4116,48,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,2,2
145.0,"Cocaine Blues (Phryne Fisher, #1)",Kerry Greenwood,3.84,30751,4096,44,https://www.goodreads.com/book/show/41022009-cocaine-blues,2,2
